ID,Count
18288,411.7161898071397
18289,328.5710593520585
18290,278.0723185564785
18291,229.76122242880325
18292,193.39071525771834
18293,173.11659025850744
18294,186.14734328037497
18295,215.88175107423706
18296,248.60130610724704
18297,321.2472054638559
18298,455.9739242424431
18299,505.5068821077108
18300,510.86258744853455
18301,451.8181310271593
18302,483.1036447394024
18303,477.0016525887919
18304,464.8269344369743
18305,475.65540971623494
18306,487.36186947759796
18307,517.1401764955654
18308,496.9538499445643
18309,463.8538349693104
18310,465.53663856000634
18311,454.53256638432555
18312,392.3465961840783
18313,313.11311027570713
18314,264.99013247391395
18315,218.95187944214914
18316,184.29245859997096
18317,164.97214977806857
18318,177.3898581908468
18319,205.72538148648385
18320,236.9056128295178
18321,306.1338143064818
18322,434.5221819161918
18323,481.7248129967686
18324,486.82855390533337
18325,430.56190208550254
18326,460.37555799400286
18327,454.56064007358907
18328,442.958693527344
18329,453.27773252280224
18330,464.4334503557301
18331,492.81080759324084
18332,473.5741666550851
18333,442.0313744824813
18334,443.63500892096476
18335,433.14863415801284
18336,377.91978726059017
18337,301.59976198284386
18338,255.24629362073492
18339,210.9008935055502
18340,177.51591940702173
18341,158.9060293995739
18342,170.86713156603543
18343,198.16074145065002
18344,228.19445783942894
18345,294.87709872140226
18346,418.5445525637483
18347,464.0115158803925
18348,468.927589314334
18349,414.7298944893239
18350,443.44728520453396
18351,437.8461851445514
18352,426.6708488138431
18353,436.61045083875183
18354,447.35596654135594
18355,474.68987210985546
18356,456.16057347017676
18357,425.7776278210635
18358,427.3222957033129
18359,417.2215109428654
18360,262.62668383952035
18361,209.58983362711803
18362,177.37755448544243
18363,146.56073629180523
18364,123.36061464398293
18365,110.42809863390124
18366,118.74019210699967
18367,137.70725997598967
18368,158.5785019814336
18369,204.91807306194613
18370,290.8579322498357
18371,322.45415505324695
18372,325.8704674745316
18373,288.20702315790993
18374,308.16351484290067
18375,304.27115888750257
18376,296.50511535059326
18377,303.41241368870965
18378,310.8797632434301
18379,329.87483367325046
18380,316.9983227848289
18381,295.88439191885675
18382,296.95782341734787
18383,289.93851483591084
18384,261.67396939550656
18385,208.82951765733242
18386,176.73409299199648
18387,146.02906704803627
18388,122.91310703479589
18389,110.02750550659438
18390,118.30944571652839
18391,137.20770793616396
18392,158.0032366384797
18393,204.17470454663984
18394,289.8028050664161
18395,321.2844082226498
18396,324.6883275003993
18397,287.16151251209703
18398,307.0456092766548
18399,303.1673733782354
18400,295.42950223318775
18401,302.31174339585027
18402,309.75200411224216
18403,328.6781673095644
18404,315.84836773673555
18405,294.8110305611373
18406,295.88056803911866
18407,288.88672296571053
18408,410.1421509289403
18409,327.31489397776613
18410,277.00921574149334
18411,228.88281855312624
18412,192.65136006102074
18413,172.45474539965977
18414,185.43568033718566
18415,215.05641003179767
18416,247.6508744004753
18417,320.01904003477745
18418,454.2306828981109
18419,503.5742705045391
18420,508.9095003609507
18421,450.0907777636278
18422,481.25668331829365
18423,475.1780197933658
18424,463.04984700502075
18425,473.83692376388524
18426,485.49862836806324
18427,515.1630894549411
18428,495.053937578111
18429,462.08046780979794
18430,463.7568378466485
18431,452.7948355187217
18432,400.49484324098455
18433,319.61583772153364
18434,270.49344278178967
18435,223.49906813862393
18436,188.11984106741738
18437,168.3982884191949
18438,181.0738875770746
18439,209.99788251116888
18440,241.82566433825323
18441,312.491595859076
18442,443.54633077945346
18443,491.72926525381854
18444,496.93900056182986
18445,439.50380392842857
18446,469.9366293069198
18447,464.00094727566125
18448,452.15805171209513
18449,462.6913963239206
18450,474.0787959042726
18451,503.04549358679355
18452,483.40934643542323
18453,451.21147412197774
18454,452.84841281165336
18455,442.1442572061228
18456,415.43014966677197
18457,331.53499362445626
18458,280.5807198648589
18459,231.83382481492833
18460,195.13523094953308
18461,174.6782195632906
18462,187.8265188339143
18463,217.82915119540405
18464,250.843858853028
18465,324.1450735964418
18466,460.0871189469524
18467,510.0668977578006
18468,515.4709152008644
18469,455.8938376523347
18470,487.46156796181606
18471,481.3045316947189
18472,469.01998931048684
18473,479.9461447964623
18474,491.75820478130083
18475,521.8051323677339
18476,501.4367114313773
18477,468.0381118242465
18478,469.7360954470671
18479,458.6327590613193
18480,396.06055604371045
18481,316.0770445481049
18482,267.4985337822943
18483,221.02448182827425
18484,186.0369742917857
18485,166.53377908285174
18486,179.0690337443861
18487,207.67278160765085
18488,239.1481655752987
18489,309.03168243906765
18490,438.6353766207011
18491,486.28482864685844
18492,491.4368816576632
18493,434.6376087106779
18494,464.7334812164164
18495,458.8635191795161
18496,447.1517484008565
18497,457.5684676030296
18498,468.82978565943296
18499,497.4757634654094
18500,478.05702814189806
18501,446.2156513374174
18502,447.83446580802536
18503,437.2488268350066
18504,381.63374712022244
18505,304.56369625524155
18506,257.7546949291154
18507,212.97349589167527
18508,179.26043509883647
18509,160.46765870435706
18510,172.54630711957475
