Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1875.486042756023
FDW14,OUT017,1591.7612740786349
NCN55,OUT010,1822.6726586169998
FDQ58,OUT017,2546.362959157393
FDY38,OUT027,5087.605400109222
FDH56,OUT046,1942.6371302122493
FDL48,OUT018,680.8000272442455
FDC48,OUT027,2806.0427441358906
FDN33,OUT045,1541.2477558067735
FDA36,OUT017,3051.675735541092
FDT44,OUT017,2004.9816551032463
FDQ56,OUT045,1358.1533406291012
NCC54,OUT019,1819.7081624356433
FDU11,OUT049,2076.7501933506496
DRL59,OUT013,963.7365800429827
FDM24,OUT049,2541.571606499624
FDI57,OUT045,3047.575103091966
DRC12,OUT018,2726.5903317931197
NCM42,OUT027,3196.322082094339
FDA46,OUT010,1129.086593209291
FDA31,OUT013,2782.853101628459
NCJ31,OUT035,3802.6708588839942
FDG52,OUT046,863.6967323629417
NCL19,OUT019,383.6749739722958
FDS10,OUT035,2986.4040703131764
FDX22,OUT010,1453.2700642602708
NCF19,OUT035,998.531315281144
NCE06,OUT046,2519.8296088661173
DRC27,OUT046,3768.6660667896776
FDE21,OUT035,2044.9750562281513
NCR42,OUT019,-1251.134114547136
FDX51,OUT018,2840.7076836527913
NCR06,OUT018,510.7134768810537
FDU31,OUT027,4872.661618212015
FDU59,OUT017,2684.9378118546233
FDR03,OUT027,4667.855182836748
FDS49,OUT027,2769.552144702111
FDD48,OUT010,-11.742853337758902
NCF18,OUT017,3083.5092213649073
NCD43,OUT027,3104.414085400251
NCD54,OUT018,2007.8274969877732
FDY19,OUT010,23.568113246548933
NCY54,OUT017,2783.2415589678085
NCL19,OUT018,2023.5214175263447
FDP23,OUT010,1509.365342827416
FDC26,OUT013,1848.5794920752453
FDR14,OUT010,-931.0749455928462
NCS41,OUT035,2986.619667600744
FDF41,OUT035,3971.3364664503147
FDU34,OUT046,2004.568317313598
DRH11,OUT046,984.1695289641902
FDM03,OUT013,1734.3034064058797
FDS31,OUT017,2964.8933269092463
FDJ20,OUT017,2116.752967896566
FDV44,OUT027,4427.784808962074
FDG02,OUT049,3080.328271401876
FDA09,OUT013,2877.9901004558023
FDT04,OUT013,743.8136889644194
FDL58,OUT019,2224.430519922789
FDE52,OUT045,1472.2979119940564
FDW12,OUT035,2500.3276177547987
FDL51,OUT017,3499.1716317514456
NCY42,OUT027,3669.354199459299
FDR07,OUT017,1704.3865411049364
FDN40,OUT045,2341.925789890121
FDB35,OUT027,2975.938723178918
FDA22,OUT017,2708.4019276470262
NCL06,OUT046,4020.0931885843734
FDI35,OUT013,2889.3869050858048
NCW42,OUT045,3358.98675370694
NCX06,OUT049,2926.340846616711
FDC37,OUT027,3208.31548174124
FDZ14,OUT018,1759.3628553683402
DRG49,OUT049,3880.4720445096204
NCG06,OUT045,3875.8374405199975
DRC36,OUT045,2697.430348414637
FDV21,OUT019,89.20329367236764
FDB53,OUT046,2335.2836003628086
DRP47,OUT019,1969.3600466199464
FDA14,OUT013,2346.3123118934705
DRC24,OUT035,2559.4368407748652
FDW21,OUT018,1431.1415252561842
NCH29,OUT046,1574.190141985876
FDU58,OUT013,3038.8499545102018
FDY27,OUT017,2888.5866735281897
FDV56,OUT035,1978.6353753250978
FDT59,OUT046,3588.219044516919
FDB23,OUT046,3557.5198981563913
FDR49,OUT045,760.3217983798788
FDB03,OUT010,1879.1002918477866
FDN39,OUT045,2601.008116477852
FDX02,OUT027,4893.539499114099
FDQ16,OUT027,3196.576480281021
FDU35,OUT018,1349.3325726460912
NCT29,OUT013,1985.4074128544578
FDZ27,OUT046,871.1855531616735
FDN57,OUT017,2352.0259350435467
FDA03,OUT018,2095.9434563670648
FDZ36,OUT045,2892.910145545563
NCU05,OUT013,1378.5344023376758
