Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1647.871687006286
FDW14,OUT017,1364.9886531651591
NCN55,OUT010,572.1478272442414
FDQ58,OUT017,2462.438529121142
FDY38,OUT027,5850.633422939963
FDH56,OUT046,1939.7283611603177
FDL48,OUT018,769.8847791918936
FDC48,OUT027,2135.4709371318045
FDN33,OUT045,1528.741715846066
FDA36,OUT017,3087.86915350744
FDT44,OUT017,1930.1891163085672
FDQ56,OUT045,1363.0742150501028
NCC54,OUT019,572.55754036843
FDU11,OUT049,2021.4957627808365
DRL59,OUT013,876.5620009755396
FDM24,OUT049,2453.1633583535317
FDI57,OUT045,3053.4143301223726
DRC12,OUT018,2950.564757741536
NCM42,OUT027,2923.0118059949705
FDA46,OUT010,512.7464436846461
FDA31,OUT013,2838.2697599128137
NCJ31,OUT035,3874.3853563176726
FDG52,OUT046,785.3544502173877
NCL19,OUT019,289.4418399115753
FDS10,OUT035,3011.0801149296017
FDX22,OUT010,564.5644525055664
NCF19,OUT035,756.7938346610457
NCE06,OUT046,2553.1679743794607
DRC27,OUT046,3884.3163156297333
FDE21,OUT035,1951.038375360235
NCR42,OUT019,131.4621942802218
FDX51,OUT018,2983.6981625576113
NCR06,OUT018,614.93118686633
FDU31,OUT027,5850.633422939963
FDU59,OUT017,2547.2952980800287
FDR03,OUT027,5852.579921554432
FDS49,OUT027,2024.2244941567167
FDD48,OUT010,266.54444123003975
NCF18,OUT017,3020.6288191701515
NCD43,OUT027,2868.6521786462454
NCD54,OUT018,2123.197648140632
FDY19,OUT010,267.43400643458625
NCY54,OUT017,2844.858967970801
NCL19,OUT018,2430.6615439698207
FDP23,OUT010,568.7154508515943
FDC26,OUT013,1735.7907681072716
FDR14,OUT010,131.4621942802218
NCS41,OUT035,3121.861380749332
FDF41,OUT035,3876.1044522993134
FDU34,OUT046,2046.428306014694
DRH11,OUT046,956.6206440802321
FDM03,OUT013,1648.0615004060062
FDS31,OUT017,3071.0833839424217
FDJ20,OUT017,2001.568580460216
FDV44,OUT027,5103.270594368758
FDG02,OUT049,3115.3991856043604
FDA09,OUT013,3008.759517176831
FDT04,OUT013,713.669707939488
FDL58,OUT019,569.9099901861642
FDE52,OUT045,1380.6246954481944
FDW12,OUT035,2482.7941558057414
FDL51,OUT017,3656.5228997385725
NCY42,OUT027,3026.2308458006128
FDR07,OUT017,1550.7223488307125
FDN40,OUT045,2463.297140716481
FDB35,OUT027,2685.5177728734516
FDA22,OUT017,2547.832236356112
NCL06,OUT046,4142.865970940647
FDI35,OUT013,3077.6457212283985
NCW42,OUT045,3755.2607710366055
NCX06,OUT049,3009.04327766307
FDC37,OUT027,2897.2033513188867
FDZ14,OUT018,1956.221688328867
DRG49,OUT049,3870.005377045625
NCG06,OUT045,4079.729493826969
DRC36,OUT045,2853.4250606355836
FDV21,OUT019,280.6155233928084
FDB53,OUT046,2493.965753094647
DRP47,OUT019,570.6179537206434
FDA14,OUT013,2460.1250688171976
DRC24,OUT035,2528.9886450397494
FDW21,OUT018,1615.5763134748233
NCH29,OUT046,1556.432899741469
FDU58,OUT013,3102.6252748933935
FDY27,OUT017,2881.8014747386464
FDV56,OUT035,1657.8470854516397
FDT59,OUT046,3831.592742434096
FDB23,OUT046,3758.4489527315677
FDR49,OUT045,757.518258453158
FDB03,OUT010,572.9308914147784
FDN39,OUT045,2620.0137112057614
FDX02,OUT027,5852.579921554432
FDQ16,OUT027,2892.2330509334406
FDU35,OUT018,1559.1780833966602
NCT29,OUT013,2016.6562511811626
